Alias,Name,Episode 1,Episode 2,Episode 3,Episode 4,Episode 5,Episode 6,Episode 7,sexe
BEN,OBI-WAN,1,1,1,1,1,1,0,H
BEN,KYLO REN,0,0,0,0,0,0,1,H
SEE-THREEPIO,C-3PO,1,1,1,1,1,1,1,D
THREEPIO,C-3PO,1,1,1,1,1,1,1,D
ARTOO-DETOO,R2-D2,1,1,1,1,1,1,1,D
ARTOO,R2-D2,1,1,1,1,1,1,1,D
PALPATINE,EMPEROR,1,1,1,1,1,1,1,H
DARTH SIDIOUS,EMPEROR,1,1,1,1,1,1,1,H
BAIL,BAIL ORGANA,1,1,1,1,1,1,1,H
MACE,MACE WINDU,1,1,1,1,1,1,0,H
WINDU,MACE WINDU,1,1,1,1,1,1,1,H
MACE-WINDU,MACE WINDU,1,1,1,1,1,1,1,H
AUNT BERU,BERU,1,1,1,1,1,1,1,F
DOOKU,COUNT DOOKU,1,1,1,1,1,1,1,H
BOBA,BOBA FETT,1,1,1,1,1,1,1,H
JANGO,JANGO FETT,1,1,1,1,1,1,1,H
PANAKA,CAPTAIN PANAKA,1,1,1,1,1,1,1,A
NUTE,NUTE GUNRAY,1,1,1,1,1,1,1,H
KI-ADI,KI-ADI-MUNDI,1,1,1,1,1,1,1,H
BIBBLE,SIO BIBBLE,1,1,1,1,1,1,1,H
ON MEDON,TION MEDON,1,1,1,1,1,1,1,H
BIB,BIB FORTUNA,1,1,1,1,1,1,1,H
CHEWIE,CHEWBACCA,1,1,1,1,1,1,1,H
VADER,DARTH VADER,1,1,1,1,1,1,1,H
ACKBAR,ADMIRAL ACKBAR,1,1,1,1,1,1,1,H
FN-2187,FINN,1,1,1,1,1,1,1,H
UNKAR,UNKAR PLUTT,1,1,1,1,1,1,1,H
YOUNG GIRL,REY,0,0,0,0,0,0,1,F
CHOPPER,C1-10P,0,0,0,0,0,0,0,D
War_Crime,C1-10P,0,0,0,0,0,0,0,D